Unnamed: 0,title,year,kind,genre,rating,vote,country,language,cast,director,composer,writer,runtime
96,Broken Paths 467,2000,tv series,Romance,7.9,92229,India,Spanish,"Emma Watson, John Smith, Chris Evans",Christopher Nolan,John Williams,Aaron Sorkin,103
97,Golden Dreams 97,1990,movie,Comedy,8.4,3662,India,Spanish,"Amitabh Bachchan, Chris Evans, John Smith",Steven Spielberg,A R Rahman,Aaron Sorkin,74
98,Shadow Rise 222,1990,tv series,Action,1.5,59756,Canada,Spanish,"Amitabh Bachchan, John Smith, Scarlett Johansson",James Cameron,A R Rahman,Raju Murugan,62
99,Shadow Rise 190,1995,tv series,Romance,3.0,53326,Canada,German,"Chris Evans, Emma Watson, Scarlett Johansson",Steven Spielberg,John Williams,Raju Murugan,94
100,Broken Paths 34,1997,tv series,Romance,8.3,5042,USA,English,"John Smith, Emma Watson, Amitabh Bachchan",James Cameron,John Williams,Raju Murugan,122
101,Shadow Rise 117,1993,tv series,Romance,4.2,96271,Canada,French,"Emma Watson, Scarlett Johansson, John Smith",James Cameron,Hans Zimmer,Raju Murugan,143
102,Shadow Rise 72,1983,tv series,Drama,9.1,90475,USA,Hindi,"Chris Evans, Scarlett Johansson, John Smith",Christopher Nolan,John Williams,Quentin Tarantino,147
103,Silent Night 90,2016,tv series,Comedy,2.9,19450,Canada,Hindi,"Amitabh Bachchan, John Smith, Chris Evans",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,65
104,Shadow Rise 290,2010,tv series,Action,4.5,87733,UK,English,"John Smith, Amitabh Bachchan, Scarlett Johansson",James Cameron,John Williams,Raju Murugan,70
105,Silent Night 296,1993,tv series,Action,3.2,30834,Australia,French,"Scarlett Johansson, John Smith, Emma Watson",Rajkumar Hirani,A R Rahman,Aaron Sorkin,114
106,Shadow Rise 3,1991,movie,Comedy,7.2,93025,Australia,French,"Amitabh Bachchan, John Smith, Emma Watson",James Cameron,John Williams,Aaron Sorkin,114
107,Golden Dreams 446,1982,movie,Thriller,2.6,18667,USA,French,"Emma Watson, Chris Evans, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,139
108,Broken Paths 92,1984,movie,Action,1.5,83048,UK,German,"Emma Watson, John Smith, Scarlett Johansson",Rajkumar Hirani,John Williams,Raju Murugan,129
109,The Last Journey 184,2024,movie,Thriller,3.5,81048,USA,French,"Amitabh Bachchan, Emma Watson, Chris Evans",Steven Spielberg,Hans Zimmer,Quentin Tarantino,85
110,Golden Dreams 243,1988,tv series,Romance,1.1,56283,Australia,Hindi,"Chris Evans, Scarlett Johansson, Emma Watson",Rajkumar Hirani,John Williams,Aaron Sorkin,102
111,The Last Journey 94,1982,tv series,Thriller,3.8,59467,UK,English,"Chris Evans, Emma Watson, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Quentin Tarantino,60
112,Golden Dreams 80,2000,tv series,Thriller,7.0,62986,Canada,Hindi,"John Smith, Amitabh Bachchan, Chris Evans",Christopher Nolan,Hans Zimmer,Quentin Tarantino,177
113,Broken Paths 443,1995,movie,Romance,5.7,22701,India,German,"Scarlett Johansson, John Smith, Chris Evans",Christopher Nolan,John Williams,Quentin Tarantino,72
114,Silent Night 259,2019,movie,Comedy,9.5,47371,Australia,Spanish,"Chris Evans, Scarlett Johansson, Emma Watson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,102
115,Silent Night 397,2011,tv series,Comedy,8.2,81471,USA,English,"Emma Watson, John Smith, Chris Evans",Christopher Nolan,John Williams,Aaron Sorkin,88
116,Broken Paths 165,1981,tv series,Comedy,2.3,69014,Canada,Hindi,"Chris Evans, John Smith, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,72
117,Silent Night 225,1992,tv series,Drama,6.0,59032,Canada,Spanish,"Emma Watson, Chris Evans, Scarlett Johansson",James Cameron,Hans Zimmer,Raju Murugan,107
118,The Last Journey 88,1996,movie,Comedy,8.1,60900,Canada,Hindi,"John Smith, Chris Evans, Scarlett Johansson",James Cameron,A R Rahman,Aaron Sorkin,84
119,Shadow Rise 101,2017,tv series,Drama,1.4,24831,UK,French,"John Smith, Chris Evans, Emma Watson",Rajkumar Hirani,A R Rahman,Quentin Tarantino,84
120,Silent Night 217,1996,tv series,Comedy,9.7,52054,UK,German,"John Smith, Amitabh Bachchan, Chris Evans",James Cameron,John Williams,Raju Murugan,69
121,Silent Night 125,1982,movie,Comedy,9.6,75955,USA,English,"Amitabh Bachchan, Scarlett Johansson, John Smith",Rajkumar Hirani,John Williams,Aaron Sorkin,175
122,The Last Journey 116,1980,movie,Action,7.2,15127,Australia,French,"Chris Evans, Amitabh Bachchan, John Smith",Rajkumar Hirani,A R Rahman,Quentin Tarantino,146
123,Broken Paths 82,1998,tv series,Thriller,4.6,47075,Canada,Hindi,"Chris Evans, Scarlett Johansson, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,94
124,Silent Night 187,1984,movie,Thriller,8.4,74752,USA,French,"John Smith, Amitabh Bachchan, Chris Evans",Christopher Nolan,Hans Zimmer,Raju Murugan,62
125,Broken Paths 314,2023,movie,Action,4.5,17692,India,German,"Chris Evans, Scarlett Johansson, John Smith",James Cameron,A R Rahman,Aaron Sorkin,120
126,Broken Paths 18,2011,tv series,Thriller,6.4,8007,Australia,Spanish,"Chris Evans, John Smith, Emma Watson",Steven Spielberg,A R Rahman,Raju Murugan,122
127,Shadow Rise 400,1993,movie,Drama,6.4,96630,Canada,English,"John Smith, Scarlett Johansson, Chris Evans",Steven Spielberg,John Williams,Aaron Sorkin,72
128,Shadow Rise 490,2001,tv series,Romance,9.5,2424,Australia,Spanish,"Emma Watson, Amitabh Bachchan, John Smith",Christopher Nolan,Hans Zimmer,Quentin Tarantino,180
129,Shadow Rise 484,1996,tv series,Comedy,5.1,36813,UK,Spanish,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,139
130,Shadow Rise 498,2016,tv series,Action,4.7,18684,USA,German,"Scarlett Johansson, John Smith, Amitabh Bachchan",Christopher Nolan,A R Rahman,Quentin Tarantino,65
131,Golden Dreams 456,1981,movie,Drama,2.8,79774,Canada,English,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,158
132,Shadow Rise 132,2002,tv series,Thriller,5.3,42839,UK,Hindi,"Emma Watson, John Smith, Amitabh Bachchan",James Cameron,A R Rahman,Quentin Tarantino,157
133,Silent Night 474,2015,movie,Comedy,8.5,63495,UK,English,"John Smith, Chris Evans, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Raju Murugan,98
134,Silent Night 166,2018,movie,Comedy,3.4,62923,Canada,Spanish,"Emma Watson, Scarlett Johansson, Chris Evans",Steven Spielberg,John Williams,Aaron Sorkin,96
135,Golden Dreams 304,2000,tv series,Comedy,7.6,23777,Australia,German,"John Smith, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Raju Murugan,145
136,Golden Dreams 106,2010,movie,Romance,1.4,86036,USA,German,"Scarlett Johansson, Emma Watson, Chris Evans",Christopher Nolan,Hans Zimmer,Raju Murugan,116
137,Silent Night 178,1997,movie,Romance,3.0,36905,India,Spanish,"John Smith, Chris Evans, Scarlett Johansson",James Cameron,A R Rahman,Quentin Tarantino,120
138,Silent Night 456,1998,movie,Drama,3.5,32550,Australia,Spanish,"Chris Evans, Emma Watson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Aaron Sorkin,72
139,Golden Dreams 47,1999,movie,Comedy,5.8,71829,UK,Hindi,"John Smith, Emma Watson, Chris Evans",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,170
140,Golden Dreams 31,2009,movie,Romance,9.2,84360,India,English,"Chris Evans, John Smith, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,154
141,Shadow Rise 219,2024,tv series,Romance,2.2,26961,India,German,"Chris Evans, Amitabh Bachchan, Emma Watson",James Cameron,A R Rahman,Aaron Sorkin,77
142,Golden Dreams 152,2000,tv series,Thriller,4.4,27507,India,Spanish,"Emma Watson, Amitabh Bachchan, John Smith",Rajkumar Hirani,John Williams,Raju Murugan,142
143,Shadow Rise 124,2023,tv series,Thriller,7.9,33282,India,English,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Christopher Nolan,John Williams,Quentin Tarantino,166
144,Shadow Rise 367,2001,movie,Action,5.6,9463,Canada,Hindi,"Emma Watson, Amitabh Bachchan, Chris Evans",Christopher Nolan,A R Rahman,Quentin Tarantino,173
145,The Last Journey 468,2007,movie,Drama,1.7,63409,USA,English,"John Smith, Scarlett Johansson, Chris Evans",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,80
146,The Last Journey 312,2013,movie,Comedy,5.5,76891,India,English,"Emma Watson, John Smith, Amitabh Bachchan",Christopher Nolan,A R Rahman,Raju Murugan,77
147,Shadow Rise 162,2017,tv series,Comedy,1.6,70655,USA,French,"John Smith, Scarlett Johansson, Emma Watson",Christopher Nolan,John Williams,Raju Murugan,63
148,Golden Dreams 40,2010,tv series,Action,4.1,70785,UK,Spanish,"Chris Evans, Emma Watson, Amitabh Bachchan",James Cameron,Hans Zimmer,Aaron Sorkin,128
149,Golden Dreams 184,2013,tv series,Action,4.1,44291,USA,Spanish,"Scarlett Johansson, Chris Evans, John Smith",James Cameron,John Williams,Quentin Tarantino,175
150,Broken Paths 217,1998,tv series,Drama,6.7,96893,Canada,English,"John Smith, Emma Watson, Scarlett Johansson",Rajkumar Hirani,John Williams,Aaron Sorkin,151
151,The Last Journey 371,2019,movie,Thriller,8.7,7203,Canada,German,"Chris Evans, Emma Watson, Scarlett Johansson",Christopher Nolan,John Williams,Aaron Sorkin,123
152,Broken Paths 283,2004,movie,Comedy,7.1,41078,Australia,Hindi,"Amitabh Bachchan, Chris Evans, Emma Watson",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,139
153,The Last Journey 165,2015,movie,Thriller,3.1,82408,Australia,English,"Scarlett Johansson, John Smith, Chris Evans",Steven Spielberg,John Williams,Aaron Sorkin,146
154,The Last Journey 175,1998,movie,Drama,8.5,23990,Australia,English,"Scarlett Johansson, John Smith, Chris Evans",James Cameron,Hans Zimmer,Raju Murugan,89
155,Golden Dreams 331,1983,tv series,Drama,7.5,84104,Australia,German,"Chris Evans, John Smith, Scarlett Johansson",Christopher Nolan,John Williams,Quentin Tarantino,120
156,The Last Journey 118,2024,tv series,Romance,1.3,2899,Australia,English,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Rajkumar Hirani,John Williams,Aaron Sorkin,180
157,The Last Journey 449,2005,movie,Drama,2.9,72196,Canada,Hindi,"Chris Evans, Amitabh Bachchan, John Smith",Rajkumar Hirani,A R Rahman,Raju Murugan,107
158,Golden Dreams 457,1986,movie,Romance,7.8,14810,Canada,English,"Emma Watson, Scarlett Johansson, John Smith",James Cameron,A R Rahman,Quentin Tarantino,136
159,The Last Journey 96,1991,movie,Thriller,7.8,77969,UK,English,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",Christopher Nolan,John Williams,Aaron Sorkin,93
